Name	sex	1880N	1890N	1900N	1910N	1920N	1930N	1940N	1950N	1960N	1970N	1980N	1990N	2008N	2009N	2010N	2011N	2012N	2013N	2014N	2015N	2016N	2017N	1880R	1890R	1900R	1910R	1920R	1930R	1940R	1950R	1960R	1970R	1980R	1990R	2008R	2009R	2010R	2011R	2012R	2013R	2014R	2015R	2016R	2017R
Milton	M	641	723	936	1285	1085	739	500	362	234	140	99	70	52	0	0	0	0	0	0	0	0	0	100	103	89	73	82	116	152	187	258	364	450	618	923	0	0	0	0	0	0	0	0	0
Mima	F	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mimi	F	0	0	0	0	0	0	15	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	838	899	0	0	0	0	0	0	0	0	0	0	0	0	0
Mina	F	271	210	119	74	49	38	0	0	0	0	0	0	71	78	66	84	81	91	103	93	97	107	223	279	393	507	655	736	0	0	0	0	0	0	909	862	962	809	833	757	690	761	744	702
Minda	F	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mindi	F	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0	0	0	0
Mindy	F	0	0	0	0	0	0	0	107	142	417	336	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	409	191	214	736	0	0	0	0	0	0	0	0	0	0
Minerva	F	231	163	131	92	68	55	44	46	41	0	0	0	0	0	0	0	0	0	0	0	0	0	242	318	369	447	539	594	673	688	799	0	0	0	0	0	0	0	0	0	0	0	0	0
Minna	F	76	75	47	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	465	659	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minnie	F	7605	5125	3110	1582	1063	704	386	148	59	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	34	70	102	143	194	357	673	0	0	0	0	0	0	0	0	0	0	0	0	0
Minnie	M	40	48	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	606	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minor	M	56	39	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	690	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minta	F	55	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mintie	F	47	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mira	F	0	0	0	0	0	0	0	0	0	0	0	0	73	84	77	87	107	109	118	129	144	172	0	0	0	0	0	0	0	0	0	0	0	0	898	807	856	787	670	664	614	586	546	473
Miracle	F	0	0	0	0	0	0	0	0	0	0	0	43	153	162	140	151	191	179	194	194	218	217	0	0	0	0	0	0	0	0	0	0	0	907	484	463	523	495	417	432	413	414	382	371
Miranda	F	22	0	0	0	0	0	0	0	31	242	604	1054	485	439	441	396	372	331	340	285	289	243	841	0	0	0	0	0	0	0	889	306	129	84	163	181	175	199	214	245	238	278	275	344
Mireya	F	0	0	0	0	0	0	0	0	0	0	0	40	66	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	961	1000	0	0	0	0	0	0	0	0
Miriam	F	162	291	405	636	613	370	234	236	209	191	203	247	254	255	266	234	259	277	266	275	280	295	283	222	192	146	156	219	269	280	321	357	324	281	309	310	304	342	315	292	306	294	293	285
Misael	M	0	0	0	0	0	0	0	0	0	0	0	44	84	74	72	71	69	70	75	64	70	63	0	0	0	0	0	0	0	0	0	0	0	790	672	748	768	791	811	801	777	870	825	882
Missie	F	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missouri	F	92	48	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	611	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missy	F	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0
Misti	F	0	0	0	0	0	0	0	0	0	125	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	777	0	0	0	0	0	0	0	0	0	0	0
Misty	F	0	0	0	0	0	0	0	0	137	1262	774	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	75	100	472	0	0	0	0	0	0	0	0	0	0
Mitch	M	0	0	0	0	0	0	0	23	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	754	553	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitchel	M	18	26	21	30	18	0	24	46	43	24	47	80	0	0	0	0	0	0	0	0	0	0	924	851	932	848	958	0	764	548	601	871	676	583	0	0	0	0	0	0	0	0	0	0
Mitchell	M	130	144	161	192	158	123	206	546	590	386	651	1043	229	206	184	166	148	156	140	119	117	103	307	308	295	276	304	339	241	142	140	189	118	91	337	359	387	420	467	458	505	585	592	651
Mittie	F	236	175	126	64	46	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	307	380	561	679	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitzi	F	0	0	0	0	0	33	0	80	101	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	0	508	481	676	0	0	0	0	0	0	0	0	0	0	0	0
Miya	F	0	0	0	0	0	0	0	0	0	0	0	0	64	66	0	69	71	75	75	70	72	67	0	0	0	0	0	0	0	0	0	0	0	0	981	977	0	948	919	875	908	966	954	997
Moe	M	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	996	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mohamed	M	0	0	0	0	0	0	0	0	0	0	23	70	127	158	151	161	159	164	179	169	164	172	0	0	0	0	0	0	0	0	0	0	914	622	505	430	442	428	440	445	427	451	471	455
Mohammad	M	0	0	0	0	0	0	0	0	0	0	43	89	82	102	93	101	108	114	118	132	115	125	0	0	0	0	0	0	0	0	0	0	700	543	684	607	648	609	596	575	586	542	596	562
Mohammed	M	0	0	0	0	0	0	0	0	0	0	33	75	88	94	103	113	119	120	141	141	117	124	0	0	0	0	0	0	0	0	0	0	806	597	648	643	600	562	555	557	499	508	590	566
Moira	F	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	0	0	0	0	0	0	0	0	0	0	0	0	0
Moises	M	0	0	0	0	0	0	0	0	23	57	83	146	193	189	162	160	153	137	159	157	161	194	0	0	0	0	0	0	0	0	791	595	499	403	376	388	425	432	452	504	461	476	483	416
Mollie	F	1215	751	548	333	177	123	76	50	35	63	94	116	98	101	107	111	110	99	87	0	0	0	87	124	162	224	316	396	500	657	847	704	558	523	711	693	672	648	653	713	806	0	0	0
Molly	F	107	95	127	141	110	138	137	160	243	468	688	912	780	848	839	912	822	782	650	564	503	474	367	410	379	349	405	369	362	336	297	180	110	94	104	92	87	78	90	102	122	144	157	166
Mona	F	71	109	109	120	136	267	140	278	228	101	0	0	0	0	0	0	0	0	0	0	0	0	463	385	406	382	359	253	356	248	305	538	0	0	0	0	0	0	0	0	0	0	0	0
Monica	F	31	58	80	100	82	110	153	464	1170	1835	1377	970	249	235	220	196	181	152	144	139	131	122	722	549	472	421	482	422	339	180	86	45	57	90	317	340	363	406	436	502	538	560	589	626
Monika	F	0	0	0	0	0	0	0	0	32	55	57	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882	763	756	837	0	0	0	0	0	0	0	0	0	0
Monique	F	0	0	0	0	0	0	0	26	309	520	635	418	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	257	165	125	180	926	0	0	0	0	0	0	0	0	0
Monnie	F	0	23	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monroe	M	266	234	250	180	143	102	63	32	20	0	0	0	0	0	0	0	0	0	0	0	0	0	206	228	230	284	319	375	462	653	849	0	0	0	0	0	0	0	0	0	0	0	0	0
Monroe	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	90	89	99	106	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	770	792	716	692	681
Monserrat	F	0	0	0	0	0	0	0	0	0	0	0	0	106	86	0	0	0	0	125	92	78	67	0	0	0	0	0	0	0	0	0	0	0	0	674	794	0	0	0	0	591	766	899	998
Mont	M	44	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montana	F	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0
Montana	M	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0	0	0	0	0
Monte	M	0	0	0	0	24	81	81	136	129	83	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	432	411	316	353	485	833	0	0	0	0	0	0	0	0	0	0	0
Montgomery	M	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0	0	0	0	0	0	0	0
Montserrat	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	111	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	650	812	0
Monty	M	0	0	0	0	0	32	61	95	108	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	467	372	388	574	0	0	0	0	0	0	0	0	0	0	0	0
Moody	M	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morgan	F	0	0	0	0	0	0	0	0	0	31	645	2277	1256	1115	1017	925	859	791	752	674	590	498	0	0	0	0	0	0	0	0	0	933	123	30	46	56	63	75	82	100	101	120	133	152
Morgan	M	109	106	89	87	68	56	43	44	64	99	191	251	168	143	124	119	110	92	101	95	104	94	345	370	428	448	488	537	562	560	502	442	294	275	416	457	518	539	589	663	653	674	643	685
Moriah	F	0	0	0	0	0	0	0	0	0	0	0	115	82	90	86	80	77	68	68	69	72	0	0	0	0	0	0	0	0	0	0	0	0	532	823	761	789	833	877	947	981	976	959	0
